id,title,type,tier,description,synopsis,actors,directors,genre,subGenre,imageUrl,duration,url,seasons,n_episode,api_url
71248,Grand Theft Parsons,movie,free,"Country-rock pioneer Gram Parsons (Gabriel Macht) and his friend and road manager Phil Kaufman (Johnny Knoxville) have a pact: Whichever of them dies first will be cremated, and the ashes will be spread in Joshua Tree National Park by the other. When Parsons dies suddenly at 26, Kaufman feels guilty for not having done more to save his friend's life, but he intends to keep his end of the bargain, even if it means stealing Parsons' corpse and outrunning the cops to do it.","Country-rock pioneer Gram Parsons (Gabriel Macht) and his friend and road manager Phil Kaufman (Johnny Knoxville) have a pact: Whichever of them dies first will be cremated, and the ashes will be spread in Joshua Tree National Park by the other. When Parsons dies suddenly at 26, Kaufman feels guilty for not having done more to save his friend's life, but he intends to keep his end of the bargain, even if it means stealing Parsons' corpse and outrunning the cops to do it.","Johnny Knoxville,Gabriel Macht,Marley Shelton",David Caffrey,Comedy,"Action and Adventure,Drama",https://iflix-images.akamaized.net/5979af8ee4b0bbe1d9f63e87-1501147022746_s_200x300,5311.658,https://piay.iflix.com/movies/grand-theft-parsons-71248,,,https://iflix-data.akamaized.net/5/vn/adults/contents/shows/movies.71248.json
112282,Garlic And Gunpowder,movie,free,"Sonny and Archie are two Mafia wise guys and ""contractors"" for a 300 pound, cigar chompin', obnoxious Mob Boss, 'Ma'. They shake down local business for ""protection"" and do the occasional contract killings or rival take-outs. Everyone has their plan for the heist...which one wins out? Do Sonny and Archie marry some ""nice girls"" and head to the Italian countryside or does the comet close it all down?","Sonny and Archie are two Mafia wise guys and ""contractors"" for a 300 pound, cigar chompin', obnoxious Mob Boss, 'Ma'. They shake down local business for ""protection"" and do the occasional contract killings or rival take-outs. Everyone has their plan for the heist...which one wins out? Do Sonny and Archie marry some ""nice girls"" and head to the Italian countryside or does the comet close it all down?","Martin Kove,Felissa Rose,Vivica A. Fox",B. Harrison Smith,Comedy,Action and Adventure,https://iflix-images.akamaized.net/5b162fcde4b056bd9133c428-1566800240005_s_200x300,5807.061,https://piay.iflix.com/movies/garlic-and-gunpowder-112282,,,https://iflix-data.akamaized.net/5/vn/adults/contents/shows/movies.112282.json
77644,Futuresport,movie,premium,"In the not too distant future, a new deadly sport is the only way to stop a war that will kill millions. Fix (Snipes) is the creator of the sport, but the spotlight has always been on Ramzey (Cain), this hothead must use this game to stop the Revolution.","In the not too distant future, a new deadly sport is the only way to stop a war that will kill millions. Fix (Snipes) is the creator of the sport, but the spotlight has always been on Ramzey (Cain), this hothead must use this game to stop the Revolution.","Wesley Snipes,Vanessa Williams,Dean Cain.",Ernest R. Dickerson,Action and Adventure,,https://iflix-images.akamaized.net/59e45341e4b0db01fa6038d3-1531120075759_s_200x300,5432.426,https://piay.iflix.com/movies/futuresport-77644,,,https://iflix-data.akamaized.net/5/vn/adults/contents/shows/movies.77644.json
94571,Delta Force 3: The Killing Game,movie,premium,A terrorist places an atom bomb somewhere in an American metropolis. The president of the U.S. has no other choice; he has to call Delta Force.,A terrorist places an atom bomb somewhere in an American metropolis. The president of the U.S. has no other choice; he has to call Delta Force.,"Nick Cassavetes,Eric Douglas. Dir. Sam Firstenberg",Sam Firstenberg,Action and Adventure,,https://iflix-images.akamaized.net/5a534517e4b0d086844d9243-1533633787147_s_200x300,5608.874,https://piay.iflix.com/movies/delta-force-3--the-killing-game-94571,,,https://iflix-data.akamaized.net/5/vn/adults/contents/shows/movies.94571.json
77607,Death Train,movie,premium,"When a renegade Russian general sends a nuclear bomb hurtling toward the Middle East aboard a hijacked train, special agents are dispatched to disarm the deadly device. Ten tons of steel and one ounce of hot plutonium are now riding roughshod through Europe. With time running out, the agents launch a desperate, bullet-packed assault on a deadly moving target piloted by a cold-blooded mercenary.","When a renegade Russian general sends a nuclear bomb hurtling toward the Middle East aboard a hijacked train, special agents are dispatched to disarm the deadly device. Ten tons of steel and one ounce of hot plutonium are now riding roughshod through Europe. With time running out, the agents launch a desperate, bullet-packed assault on a deadly moving target piloted by a cold-blooded mercenary.","Pierce Brosnan,Patrick Stewart,Christopher Lee.",David Jackson,Action and Adventure,,https://iflix-images.akamaized.net/59e450f2e4b01e742c817979-1556463817226_s_200x300,5662.57,https://piay.iflix.com/movies/death-train-77607,,,https://iflix-data.akamaized.net/5/vn/adults/contents/shows/movies.77607.json
114901,Cat And Mouse VI,movie,premium,Zhan Zhao is a court officer who learns of a plot to assassinate Judge Bao. While on holiday he meets a young man named Bai who turns out to be a woman. Zhan Zhao tries to recruit Bai to help him stop the assassination of Judge Bao.,Zhan Zhao is a court officer who learns of a plot to assassinate Judge Bao. While on holiday he meets a young man named Bai who turns out to be a woman. Zhan Zhao tries to recruit Bai to help him stop the assassination of Judge Bao.,"Andy Lau,Cecilia Cheung,Anthony Wong,Li Bingbing",Gordon Chan,Action and Adventure,Drama,https://iflix-images.akamaized.net/5b3994d1e4b083ca76cf294c-1530500305521_s_200x300,5268.693,https://piay.iflix.com/movies/cat-and-mouse-vi-114901,,,https://iflix-data.akamaized.net/5/vn/adults/contents/shows/movies.114901.json
238086,Bunyan And Babe,movie,free,"12 year old Travis and his little sister Whitney are sent on a summer trip to their grandparents’ farm. A greedy land developer Blandsford has been buying up the little country town, running the residents off their land. Travis stumbles upon
a magic portal to the hidden world where Paul Bunyan lives.
PauI has been in self-imposed exile for 100 years, ever since the advent of machines made his role in society obsolete and left him feeling of little value to the new world. Upon returning, Paul witnesses Blandsford’s sinister plan. Filled by a long forgotten sense of purpose, Bunyan and Babe, the eager blue ox, get wrapped up in a brand new
adventure and together with the help of their new friends, they try to save the town.","12 year old Travis and his little sister Whitney are sent on a summer trip to their grandparents’ farm. A greedy land developer Blandsford has been buying up the little country town, running the residents off their land. Travis stumbles upon a magic portal to the hidden world where Paul Bunyan lives. PauI has been in self-imposed exile for 100 years, ever since the advent of machines made his role in society obsolete and left him feeling of little value to the new world. Upon returning, Paul witnesses Blandsford’s sinister plan. Filled by a long forgotten sense of purpose, Bunyan and Babe, the eager blue ox, get wrapped up in a brand new adventure and together with the help of their new friends, they try to save the town.",,,Kids,Action and Adventure,https://iflix-images.akamaized.net/5d48fd39e4b078ceb8d8faf0-1565064507074_s_200x300,4903.871,https://piay.iflix.com/movies/bunyan-and-babe-238086,,,https://iflix-data.akamaized.net/5/vn/adults/contents/shows/movies.238086.json
240734,800 Bullets,movie,free,"Julian Torralba is a former movie stuntman. Now he finds only work in stunt shows for tiny audiences in Spain. And his private life is a mess, as well...","Julian Torralba is a former movie stuntman. Now he finds only work in stunt shows for tiny audiences in Spain. And his private life is a mess, as well...","Carmen Maura,Sancho Gracia,Angel de Andres Lopez,Eusebio Poncela",Alex de la Iglesia,Action and Adventure,Comedy,https://iflix-images.akamaized.net/5d54c5f0e4b057c85dcb9184-1565836907580_s_200x300,7097.13,https://piay.iflix.com/movies/800-bullets-240734,,,https://iflix-data.akamaized.net/5/vn/adults/contents/shows/movies.240734.json
141139,Ek Je Chhilo Gangster,movie,free,"On his collection day, the rowdy gangster Manna Bhai finds himself in a peculiar situation. One of his most trusted disciples’ tips him off about a huge score! An old man and his granddaughter carrying a bag full of cash sounds like easy money! Manna Bhai goes for the score but helplessly falls for the girl. Love blinds him to the extent where the line between reality and imagination blurs away…","On his collection day, the rowdy gangster Manna Bhai finds himself in a peculiar situation. One of his most trusted disciples’ tips him off about a huge score! An old man and his granddaughter carrying a bag full of cash sounds like easy money! Manna Bhai goes for the score but helplessly falls for the girl. Love blinds him to the extent where the line between reality and imagination blurs away…","Rashed Mamum Apu,Tanin Tanha,Jamshad Shamim,Solaiman Khoka",TC,Action and Adventure,Thriller,https://iflix-images.akamaized.net/5bebc822e4b0bda0b3ed6bf9-1542178853616_s_200x300,814.805,https://piay.iflix.com/movies/ek-je-chhilo-gangster-141139,,,https://iflix-data.akamaized.net/5/vn/adults/contents/shows/movies.141139.json
51471,Dong Mau Anh Hung,movie,premium,"Dòng máu anh hùng là một bộ phim điện ảnh hành động - võ thuật - chiến tranh Việt Nam của đạo diễn Charlie Nguyễn thực hiện. Phim có đề tài lịch sử, lấy bối cảnh chính là cuộc khởi nghĩa chống Pháp vào thập niên 1920. Những năm 20, lực lượng nghĩa quân Việt Nam bị đàn áp. Cường, con trai một quan triều đình Nguyễn đi học Tây về làm tay sai cho thực dân Pháp, nhưng lại đem lòng yêu Thúy-một nữ nghĩa quân và đã quay đầu với chính nghĩa. Liệu tình yêu của Thúy có cảm hóa được Cường hay không?","Dòng máu anh hùng là một bộ phim điện ảnh hành động - võ thuật - chiến tranh Việt Nam của đạo diễn Charlie Nguyễn thực hiện. Phim có đề tài lịch sử, lấy bối cảnh chính là cuộc khởi nghĩa chống Pháp vào thập niên 1920. Những năm 20, lực lượng nghĩa quân Việt Nam bị đàn áp. Cường, con trai một quan triều đình Nguyễn đi học Tây về làm tay sai cho thực dân Pháp, nhưng lại đem lòng yêu Thúy-một nữ nghĩa quân và đã quay đầu với chính nghĩa. Liệu tình yêu của Thúy có cảm hóa được Cường hay không?","Johnny Trí Nguyễn,Ngô Thanh Vân,Dustin Nguyễn",,Action and Adventure,Action and Adventure,https://iflix-images.akamaized.net/58b8cdb0e4b0896f98bf2de4-1488506288379_s_200x300,6251.349,https://piay.iflix.com/movies/dong-mau-anh-hung-51471,,,https://iflix-data.akamaized.net/5/vn/adults/contents/shows/movies.51471.json
